electrolyte_type,electrolyte_thickness_um,c_rate,temperature_c,pressure_mpa,cycle_number,capacity_retention,interfacial_resistance_ohm
Polymer,103.82823852290079,1.1023184074048609,55.444372019323396,5.035594295479803,1461,55.79853805050787,447.96193025816143
Sulfide,71.36701798949542,2.4423368702277655,20.75112846780923,8.7689685379784,505,66.91266033659676,297.6331811119677
Polymer,112.7168948267403,0.8144099170026754,20.22968071458879,1.1747751325578129,1058,55.49851886436689,450.0
Polymer,45.8979857362269,0.2834348858061708,19.075398081074773,7.938155640696563,1312,58.912580089816885,237.68371084206166
Sulfide,135.72795034270268,0.4819576520984298,10.699085648568238,1.7904700548623447,1868,55.289980725366384,450.0
Sulfide,57.363247540525364,2.5903604087357825,48.59027342391173,0.4634090297658211,1003,55.29066002105744,450.0
Polymer,67.81217840829987,1.9379715257671342,53.751726562262924,1.9371885671759732,255,59.92036176231563,450.0
Oxide,27.551953770445472,0.8342833737729323,40.70813513080994,7.673927580707848,638,79.35424987040123,137.24939797495813
Polymer,34.49658760176593,1.7103578934517258,19.409999083993114,4.110748126034914,1745,55.70244210846994,326.8167539909812
Polymer,87.06204735260266,1.6299809050335161,24.263899847043987,8.7379531167772,134,84.95260905349426,133.05016740403244
Polymer,54.787047974636295,2.0007643374779174,33.79633486824817,5.294604657704431,499,67.37714552998632,247.21194074715854
Polymer,128.61242934648527,0.7762439078226873,57.71729758116504,0.3202784840706765,397,56.03536051273797,450.0
Sulfide,21.910140525144,2.6067686628637534,22.36756859088714,7.195464735059075,1511,56.25971221813603,396.97463747584163
Polymer,69.28222632735171,0.9971688300320372,46.582295195994405,1.1913057963402038,1622,54.588374433874854,450.0
Oxide,63.85492107998205,2.112981796531087,31.972411164646015,7.914858371273052,1611,62.684159431193066,293.42171080676195
Sulfide,22.512592019288135,0.14676147447942317,24.89236741800109,1.7642152430712823,1984,56.393531012519034,450.0
Oxide,36.16789187006633,1.180705676693027,32.79579685110569,3.5199192194745836,647,80.59342340879114,149.66034862569953
Oxide,73.77354773942258,1.119958472080544,13.560335877061627,7.636587153291067,1837,62.03428014566184,303.64579935723066
Oxide,84.07239597816806,1.6761048428907421,49.93436854651812,9.546890439016574,685,68.72121649082054,333.20646373841055
Oxide,72.55766714313299,0.3109351591538698,22.165096399148357,3.7771961114026507,1237,78.6904003524602,130.07733607124763
Sulfide,89.0218981935722,2.391380983805714,46.27060615964852,8.311062179969465,1857,55.54264748217608,450.0
Sulfide,97.3671177377386,0.7315643251259487,13.417418572409737,1.9888434282108034,1374,56.55429704533152,450.0
Oxide,21.29009674661863,2.0634096631578296,57.7549278082843,8.091079725004663,19,97.29936558453807,52.971566557838564
Oxide,80.33237072895551,2.42931515740787,19.65074927028493,6.6091911866368855,1011,68.28777621677527,256.7529155463947
